GrammyAward,GrammyYear,Genre,Name,Artist
Record Of The Year,2018,General,this is America,Childish Gambino
Song Of The Year,2018,General,this is America,Childish Gambino
Best Pop Solo Performance,2018,Pop,Joanne (where Do you Think You're Goin'?),Lady Gaga
Best Pop Duo/Group Performance,2018,Pop,Shallow,Lady Gaga & Bradley Cooper
Best Dance Recording,2018,Dance/Electronic Music,Electricity,Silk City & Dua Lipa Featuring Diplo & Mark Ronson
Best Rock Performance,2018,Rock,when Bad Does Good,Chris Cornell
Best Metal Performance,2018,Rock,Electric Messiah,High on Fire
Best Rock Song,2018,Rock,Masseduction,St Vincent
Best R&B Performance,2018,R&B,Best Part,He.r. Featuring Daniel Caesar
Best Traditional R&B Performance,2018,R&B,How Deep is your Love,Pj Morton Featuring Yebba
Best R&B Song,2018,R&B,Boo'd Up,Ella Mai
Best Rap Performance,2018,Rap,Bubblin,Anderson Paak
Best Rap/Sung Performance,2018,Rap,this is America,Childish Gambino
Best Rap Song,2018,Rap,God's Plan,Drake
Best Country Solo Performance,2018,Country,Butterflies,Kacey Musgraves
Best Country Duo/Group Performance,2018,Country,Tequila,Dan   Shay
Best Country Song,2018,Country,Space Cowboy,Kacey Musgraves
Best Improvised Jazz Solo,2018,Jazz,Don't Fence Me in,"John Daversa, Soloistregina Carter, Soloistfred Hersch, Soloistbrad Mehldau, Soloistmiguel zenÃ³n, Soloist"
Best Gospel Performance/Song,2018,Gospel/Contemporary Christian Music,Never Alone,Tori Kelly Featuring Kirk Franklin
Best Contemporary Christian Music Performance/Song,2018,Gospel/Contemporary Christian Music,you Say,Lauren Daigle
Best American Roots Performance,2018,American Roots Music,The Joke,Brandi Carlile
Best American Roots Song,2018,American Roots Music,The Joke,Brandi Carlile
Best Song Written For Visual Media,2018,Composing/Arranging,Shallow,Lady Gaga & Bradley Cooper
Record Of The Year,2017,General,24k Magic,Bruno Mars
Song Of The Year,2017,General,That's What i Like,Bruno Mars
Best Pop Solo Performance,2017,Pop,Shape of you,Ed Sheeran
Best Pop Duo/Group Performance,2017,Pop,Feel it Still,Portugal the Man
Best Dance Recording,2017,Dance/Electronic Music,Tonite,Lcd Soundsystem
Best Rock Performance,2017,Rock,you Want it Darker,Leonard Cohen
Best Metal Performance,2017,Rock,Sultanâ€™s Curse,Mastodon
Best Rock Song,2017,Rock,Run,"Dave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear), Songwriters (Foo Fighters"
Best R&B Performance,2017,R&B,That's What i Like,Bruno Mars
Best Traditional R&B Performance,2017,R&B,Redbone,Childish Gambino
Best R&B Song,2017,R&B,That's What i Like,Bruno Mars
Best Rap Performance,2017,Rap,Humble.,Kendrick Lamar
Best Rap/Sung Performance,2017,Rap,Loyalty.,Kendrick Lamar Featuring Rihanna
Best Rap Song,2017,Rap,Humble.,Kendrick Lamar
Best Country Solo Performance,2017,Country,Either Way,Chris Stapleton
Best Country Duo/Group Performance,2017,Country,Better Man,Little Big Town
Best Country Song,2017,Country,Broken Halos,Chris Stapleton
